#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2018-06-01 to 2018-08-31
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1070: Anchorage Hillside, AK
#	SNOTEL 960: Eagle Summit, AK
#	SNOTEL 1268: Fielding Lake, AK
#	SNOLITE 1264: Horsepasture Pass, AK
#	SNOTEL 946: Indian Pass, AK
#	SNOTEL 1094: Monahan Flat, AK
#	SNOTEL 1103: Mt. Alyeska, AK
#	SNOTEL 1089: Tokositna Valley, AK
#	SNOTEL 1090: Upper Nome Creek, AK
#	SNOTEL 1055: Upper Tsaina River, AK
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                              
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency  
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency  
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                      
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                     
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: 2018-06-01 to 2018-08-31
#
# As of: Sep 30, 2021 11:23:12 AM GMT-08:00
#
Date,Station Name,Network Code,Station Id,Latitude,Longitude,Elevation (ft),Air Temperature Average (degF),Air Temperature Maximum (degF),Precipitation Increment (in),Precipitation Accumulation (in) Start of Day Values
2018-06-01,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,62,0.00,15.7
2018-06-02,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,67,0.00,15.7
2018-06-03,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,59,0.00,15.7
2018-06-04,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,44,58,0.00,15.7
2018-06-05,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,44,56,0.00,15.7
2018-06-06,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,43,55,0.00,15.7
2018-06-07,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,61,0.00,15.7
2018-06-08,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,63,0.00,15.7
2018-06-09,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,63,0.10,15.7
2018-06-10,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,67,0.00,15.8
2018-06-11,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,45,57,0.50,15.8
2018-06-12,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,57,0.00,16.3
2018-06-13,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,61,0.00,16.3
2018-06-14,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,56,69,0.00,16.3
2018-06-15,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,46,54,1.40,16.3
2018-06-16,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,56,0.00,17.7
2018-06-17,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,56,0.00,17.7
2018-06-18,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,60,0.10,17.7
2018-06-19,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,60,0.00,17.8
2018-06-20,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,57,69,0.00,17.8
2018-06-21,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,59,0.00,17.8
2018-06-22,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,54,0.00,17.8
2018-06-23,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,58,0.00,17.8
2018-06-24,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,56,0.00,17.8
2018-06-25,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,56,0.00,17.8
2018-06-26,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,60,0.00,17.8
2018-06-27,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,55,0.00,17.8
2018-06-28,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,60,0.00,17.8
2018-06-29,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,57,0.00,17.8
2018-06-30,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,60,0.00,17.8
2018-07-01,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,55,69,0.00,17.8
2018-07-02,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,60,74,0.00,17.8
2018-07-03,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,62,78,0.00,17.8
2018-07-04,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,62,75,0.00,17.8
2018-07-05,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,61,74,0.00,17.8
2018-07-06,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,62,77,0.00,17.8
2018-07-07,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,61,72,0.00,17.8
2018-07-08,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,56,0.00,17.8
2018-07-09,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,56,0.10,17.8
2018-07-10,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,52,0.10,17.9
2018-07-11,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,53,0.50,18.0
2018-07-12,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,62,0.00,18.5
2018-07-13,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,58,0.00,18.5
2018-07-14,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,56,0.10,18.5
2018-07-15,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,58,0.10,18.6
2018-07-16,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,60,0.10,18.7
2018-07-17,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,65,0.00,18.8
2018-07-18,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,69,0.00,18.8
2018-07-19,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,67,0.00,18.8
2018-07-20,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,66,0.00,18.8
2018-07-21,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,57,72,0.00,18.8
2018-07-22,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,56,68,0.00,18.8
2018-07-23,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,57,64,0.00,18.8
2018-07-24,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,60,0.00,18.8
2018-07-25,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,59,0.10,18.8
2018-07-26,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,55,59,0.00,18.9
2018-07-27,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,55,62,0.00,18.9
2018-07-28,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,61,0.00,18.9
2018-07-29,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,59,67,0.00,18.9
2018-07-30,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,59,68,0.00,18.9
2018-07-31,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,60,76,0.00,18.9
2018-08-01,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,58,0.20,18.9
2018-08-02,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,54,0.20,19.1
2018-08-03,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,56,69,0.00,19.3
2018-08-04,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,59,66,0.00,19.3
2018-08-05,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,59,64,0.00,19.3
2018-08-06,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,60,65,0.10,19.3
2018-08-07,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,59,1.30,19.4
2018-08-08,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,53,0.80,20.7
2018-08-09,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,62,0.00,21.5
2018-08-10,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,60,0.00,21.5
2018-08-11,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,57,0.80,21.5
2018-08-12,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,61,0.20,22.3
2018-08-13,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,55,0.20,22.5
2018-08-14,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,50,0.30,22.7
2018-08-15,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,54,0.00,23.0
2018-08-16,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,54,0.20,23.0
2018-08-17,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,55,0.00,23.2
2018-08-18,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,52,0.00,23.2
2018-08-19,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,56,0.20,23.2
2018-08-20,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,56,0.10,23.4
2018-08-21,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,52,1.20,23.5
2018-08-22,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,64,0.10,24.7
2018-08-23,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,53,0.30,24.8
2018-08-24,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,56,0.00,25.1
2018-08-25,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,56,0.00,25.1
2018-08-26,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,54,0.30,25.1
2018-08-27,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,56,0.00,25.4
2018-08-28,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,61,0.00,25.4
2018-08-29,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,62,0.00,25.4
2018-08-30,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,57,0.00,25.4
2018-08-31,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,56,0.10,25.4
2018-06-01,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,44,52,0.00,12.6
2018-06-02,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,48,59,0.00,12.6
2018-06-03,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,57,0.00,12.6
2018-06-04,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,49,54,0.10,12.6
2018-06-05,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,57,0.00,12.7
2018-06-06,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,56,0.00,12.7
2018-06-07,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,49,56,0.00,12.7
2018-06-08,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,56,0.00,12.7
