#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2017-12-01 to 2018-03-31
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1070: Anchorage Hillside, AK
#	SNOTEL 960: Eagle Summit, AK
#	SNOTEL 1268: Fielding Lake, AK
#	SNOLITE 1264: Horsepasture Pass, AK
#	SNOTEL 946: Indian Pass, AK
#	SNOTEL 1094: Monahan Flat, AK
#	SNOTEL 1103: Mt. Alyeska, AK
#	SNOTEL 1089: Tokositna Valley, AK
#	SNOTEL 1090: Upper Nome Creek, AK
#	SNOTEL 1055: Upper Tsaina River, AK
# 
# Data items provided in this file:
#
# Element Name                        Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Average             Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Air Temperature Maximum             Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment             Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# Precipitation Accumulation          Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Increment - Snow-adj  Value       None           Day                           N/A        Inches              N/A           PRCPSA        Snow adjusted total preciptation                                                                   
# Snow Depth                          Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent               Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: 2017-12-01 to 2018-03-31
#
# As of: Sep 30, 2021 11:29:47 AM GMT-08:00
#
Date,Station Name,Network Code,Station Id,Latitude,Longitude,Elevation (ft),Air Temperature Average (degF),Air Temperature Maximum (degF),Precipitation Increment (in),Precipitation Accumulation (in) Start of Day Values,Precipitation Increment - Snow-adj (in),Snow Depth (in) Start of Day Values,Snow Water Equivalent (in) Start of Day Values
2017-12-01,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,22,30,0.00,5.1,0.00,4,0.7
2017-12-02,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,32,36,0.20,5.1,0.20,5,0.7
2017-12-03,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,36,39,0.10,5.3,0.10,5,0.9
2017-12-04,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,35,40,0.20,5.4,0.30,6,0.9
2017-12-05,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,33,36,0.10,5.6,0.10,8,1.2
2017-12-06,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,24,35,0.00,5.7,0.00,8,1.2
2017-12-07,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,34,42,0.10,5.7,0.10,7,1.2
2017-12-08,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,34,39,0.00,5.8,0.00,7,1.2
2017-12-09,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,30,36,0.00,5.8,0.00,6,1.2
2017-12-10,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,38,42,0.20,5.8,0.20,6,1.2
2017-12-11,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,38,40,0.10,6.0,0.10,6,1.2
2017-12-12,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,39,42,0.00,6.1,0.00,5,1.2
2017-12-13,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,38,42,0.00,6.1,0.00,5,1.2
2017-12-14,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,29,34,0.20,6.1,0.20,5,1.2
2017-12-15,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,31,35,0.10,6.3,0.10,5,1.2
2017-12-16,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,29,33,0.00,6.4,0.00,6,1.3
2017-12-17,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,23,28,0.00,6.4,0.00,6,1.3
2017-12-18,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,14,28,0.00,6.4,0.00,6,1.3
2017-12-19,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,30,34,0.30,6.4,0.30,6,1.3
2017-12-20,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,26,28,0.00,6.7,0.00,9,1.5
2017-12-21,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,16,30,0.00,6.7,0.00,8,1.5
2017-12-22,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,31,39,0.00,6.7,0.00,8,1.5
2017-12-23,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,35,39,0.00,6.7,0.00,8,1.5
2017-12-24,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,29,36,0.00,6.7,0.00,7,1.5
2017-12-25,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,26,35,0.00,6.7,0.00,7,1.5
2017-12-26,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,12,17,0.00,6.7,0.00,7,1.5
