Data for December 1, 2017 through March 31, 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name, StationType, Longitude, Latitude, Elevation, MeanAvgTemperature, mcnt, NumberofDaysMaxTemperature>=82.4, mcnt, PercentofDaysMaxTemperature>=82.4, mcnt, TotalPrecipitation, mcnt, TotalSnowfall, mcnt, MeanSnowDepth, mcnt
ADAK AP, WBAN, -176.650, 51.883, 17, 39.5, 120, 0, 120, 0, 120, 0.49, 120, M, 121, M, 121
ATKA AP, WBAN, -174.206, 52.220, 56, 39.5, 120, 0, 120, 0, 120, 0.00, 120, M, 121, M, 121
ANNETTE AIRPORT, WBAN, -131.579, 55.039, 109, 38.5, 21, 0, 21, 0, 21, 20.26, 20, T, 79, 0.1, 86
COLD BAY AIRPORT, WBAN, -162.732, 55.221, 78, 33.8, 0, 0, 0, 0, 0, 13.09, 1, 39.2, 3, 1.3, 3
SAND POINT AP, WBAN, -160.521, 55.319, 21, 38.0, 120, 0, 120, 0, 120, 0.03, 120, M, 121, M, 121
BEAVER FALLS, WBAN, -131.697, 55.357, 35, 34.8, 119, 0, 119, 0, 119, 0.58, 119, M, 121, M, 121
KETCHIKAN CARLANNA CREEK, COOP, -131.700, 55.350, 330, 32.3, 102, 0, 102, 0, 102, M, 121, M, 121, 21.6, 101
CRAIG, WBAN, -133.141, 55.477, 43, 38.5, 0, 0, 0, 0, 0, 22.33, 1, 5.0, 0, 0.1, 0
COFFMAN COVE, COOP, -132.833, 56.000, 10, 32.9, 13, 0, 13, 0, 13, 15.85, 13, 22.9, 15, 2.8, 13
LITTLE PORT WALTER, WBAN, -134.650, 56.383, 14, 33.7, 8, 0, 4, 0, 4, 88.10, 3, 58.9, 3, 4.4, 3
SITKA AIRPORT, WBAN, -135.365, 57.048, 14, 37.5, 0, 0, 0, 0, 0, 19.69, 0, M, 121, M, 121
SAINT PAUL ISLAND AIRPORT, WBAN, -170.222, 57.155, 35, 32.6, 0, 0, 0, 0, 0, 7.41, 0, 15.9, 11, 0.5, 3
PELICAN, COOP, -136.221, 57.958, 12, 32.6, 0, 0, 0, 0, 0, 41.17, 0, 55.5, 0, 3.4, 0
SNETTISHAM POWER PLANT, COOP, -133.738, 58.142, 29, 26.8, 0, 0, 0, 0, 0, 43.37, 0, 105.3, 0, 22.5, 0
HOONAH, COOP, -135.428, 58.107, 130, 31.7, 0, 0, 0, 0, 0, 14.22, 0, 25.0, 1, 2.0, 0
KITOI BAY, COOP, -152.372, 58.191, 60, 33.3, 2, 0, 1, 0, 1, 19.32, 0, 21.7, 59, 1.4, 54
ELFIN COVE, WBAN, -136.344, 58.192, 20, 34.7, 25, 0, 25, 0, 25, 33.72, 0, 50.8, 24, 3.5, 24
