Data for June 1, 2018 through August 31, 2018

Name, StationType, Longitude, Latitude, Elevation, MeanAvgTemperature, mcnt, NumberofDaysMaxTemperature>=82.4, mcnt, PercentofDaysMaxTemperature>=82.4, mcnt, TotalPrecipitation, mcnt
CORDOVA AIRPORT, WBAN, -145.451, 60.489, 31, 53.3, 0, 0, 0, 0, 0, 34.51, 0
CORDOVA NORTH, COOP, -145.753, 60.556, 25, 55.3, 47, 0, 47, 0, 47, 44.79, 53
KENAI AIRPORT, WBAN, -151.239, 60.580, 91, 54.7, 0, 0, 0, 0, 0, 6.15, 0
PORTAGE GLACIER VISITOR CENTER, WBAN, -148.839, 60.785, 103, 53.0, 0, 0, 0, 0, 0, 22.03, 0
BETHEL AIRPORT, WBAN, -161.829, 60.785, 102, 54.6, 0, 0, 0, 0, 0, 9.84, 0
ALYESKA, COOP, -149.111, 60.958, 272, 56.5, 0, 0, 0, 0, 0, 13.07, 0
CANNERY CREEK, COOP, -147.515, 61.018, 85, 54.5, 6, 0, 6, 0, 6, 34.78, 6
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, WBAN, -150.028, 61.169, 120, 58.8, 0, 0, 0, 0, 0, 6.30, 0
EAGLE RIVER NATURE CENTER, COOP, -149.271, 61.234, 520, 55.7, 15, 0, 3, 0, 3, 7.89, 0
ANCHORAGE MERRILL FIELD, WBAN, -149.855, 61.217, 138, 59.2, 0, 0, 0, 0, 0, 7.30, 0
BEN'S FARM, COOP, -149.154, 61.563, 127, 58.0, 0, 0, 0, 0, 0, M, 92
MATANUSKA EXPERIMENTAL FARM, WBAN, -149.254, 61.566, 172, 57.4, 0, 0, 0, 0, 0, 7.24, 0
PALMER JOB CORPS, COOP, -149.099, 61.589, 216, 58.4, 19, 0, 19, 0, 19, 1.00, 19
PALMER AIRPORT, WBAN, -149.092, 61.596, 230, 57.4, 0, 0, 0, 0, 0, 8.11, 0
LITTLE SU AT HATCHER PASS BRIDGE, COOP, -149.232, 61.710, 902, 54.0, 8, 0, 8, 0, 8, 16.74, 8
GENNALLEN KCAM, COOP, -145.533, 62.109, 1383, 55.2, 0, 1, 0, 1, 0, 8.73, 0
PUNTILLA, WBAN, -152.735, 62.091, 1858, 53.5, 10, 0, 10, 0, 10, 4.83, 10
GULKANA AIRPORT, WBAN, -145.459, 62.159, 1562, 55.7, 0, 1, 0, 1, 0, 7.75, 0
TALKEETNA AIRPORT, WBAN, -150.095, 62.320, 350, 57.5, 0, 0, 0, 0, 0, 12.49, 0
CHULITNA RIVER, COOP, -149.906, 62.826, 1354, 53.4, 20, 0, 14, 0, 14, 18.71, 4
NORTHWAY AIRPORT, WBAN, -141.988, 62.962, 1713, 56.4, 0, 4, 0, 4, 0, 9.23, 0
MCGRATH AP, WBAN, -155.610, 62.957, 333, 59.0, 0, 1, 0, 1, 0, 11.05, 0
BIG DELTA AIRPORT, WBAN, -145.721, 63.994, 1277, 58.9, 11, 3, 11, 4, 11, 4.56, 7
CHICKEN, COOP, -141.921, 64.092, 1800, 52.6, 0, 5, 0, 5, 0, 8.68, 0
KALTAG AP, WBAN, -158.742, 64.327, 181, 56.7, 9, 0, 9, 0, 9, 9.36, 9
NOME AIRPORT, WBAN, -165.440, 64.511, 13, 51.5, 0, 0, 0, 0, 0, 4.32, 0
NENANA MUN AP, COOP, -149.096, 64.546, 358, 59.7, 0, 7, 0, 8, 0, 5.74, 1
EAGLE, WBAN, -141.204, 64.786, 850, 56.6, 0, 9, 0, 10, 0, 11.01, 0
NORTH POLE, COOP, -147.325, 64.758, 475, 56.6, 0, 6, 0, 7, 0, 6.62, 0
FAIRBANKS INTL AP, WBAN, -147.876, 64.804, 432, 59.4, 0, 5, 0, 5, 0, 5.73, 0
UNIVERSITY EXPERIMENTAL STATION, WBAN, -147.861, 64.857, 475, 58.0, 0, 8, 0, 9, 0, 7.52, 0
COLLEGE OBSERVATORY, WBAN, -147.848, 64.860, 597, 57.2, 0, 4, 0, 4, 0, 7.52, 0
GILMORE CREEK, COOP, -147.521, 64.977, 945, 56.2, 7, 4, 7, 5, 7, 8.50, 7
TANANA AIRPORT, WBAN, -152.107, 65.175, 222, 56.3, 0, 1, 0, 1, 0, 5.33, 0
CIRCLE HOT SPRINGS, WBAN, -144.642, 65.494, 860, 54.7, 1, 4, 1, 4, 1, 8.45, 11
KOTZEBUE AIRPORT, WBAN, -162.633, 66.867, 30, 55.0, 0, 0, 0, 0, 0, 4.27, 0
BETTLES AIRPORT, WBAN, -151.519, 66.918, 634, 56.2, 0, 3, 0, 3, 0, 7.17, 0
WISEMAN, WBAN, -150.110, 67.408, 1181, 53.4, 16, 0, 16, 0, 16, 6.45, 16
BARTER ISLAND WSO AP, WBAN, -143.577, 70.134, 2, 39.2, 18, 0, 18, 0, 18, 0.74, 60
DEADHORSE, WBAN, -148.477, 70.192, 61, 41.9, 0, 0, 0, 0, 0, 0.16, 9
BARROW AIRPORT, WBAN, -156.781, 71.283, 31, 37.9, 0, 0, 0, 0, 0, 3.39, 0
MAIN BAY, COOP, -148.093, 60.518, 57, 54.1, 0, 0, 0, 0, 0, 38.52, 0
KUPARUK, COOP, -149.611, 70.329, 64, 41.7, 0, 0, 0, 0, 0, 3.39, 0
PORT SAN JUAN, COOP, -148.067, 60.050, 40, 54.5, 0, 0, 0, 0, 0, 23.78, 0
ATKA AP, WBAN, -174.206, 52.220, 56, 46.0, 91, 0, 91, 0, 91, M, 92
ANNETTE AIRPORT, WBAN, -131.579, 55.039, 109, 60.5, 21, 7, 21, 10, 21, 6.12, 21
COLD BAY AIRPORT, WBAN, -162.732, 55.221, 78, 51.1, 0, 0, 0, 0, 0, 11.30, 0
